Time,AE,EC,M,O
0.266,309076908,3.29E-07,0.080071205,2
0.767678571,306748234.8,2.25E-07,0.055023989,2
1.265575221,314503161.1,1.57E-07,0.10158599,2
1.765929204,293680555.8,1.20E-07,0.089792195,2
2.268495575,303790274.3,1.27E-07,0.088947009,2
2.767232143,296947148.2,9.55E-08,0.088201054,2
3.266666667,300861106.1,8.15E-08,0.07713327,2
3.765495495,299258571.2,6.73E-08,0.102804298,2
4.264424779,293943231,5.07E-08,0.06003124,2
4.768571429,316180228.6,5.30E-08,0.072238782,2
5.263909091,291228911.8,4.44E-08,0.066308653,2
5.773398058,311545151.5,3.52E-08,0.065277107,2
6.255833333,307483425.9,4.44E-08,0.071180275,2
6.770571429,294151528.6,1.71E-08,0.050155823,2
7.263421053,311666369.3,3.16E-08,0.101987001,2
7.76125,296384600.9,2.36E-08,0.073537005,2
8.262192982,311303943,1.43E-08,0.093624815,2
8.763185841,293702357.5,1.62E-08,0.077136688,2
9.262807018,321124044.7,1.57E-08,0.072514268,2
9.754528302,302255927.4,1.73E-08,0.077573426,2
10.26809091,312312456.4,2.56E-08,0.06240701,2
10.75514286,337996495.2,2.26E-08,0.080205967,2
11.26603604,288879652.3,7.44E-10,0.051092478,2
11.76252336,310175974.8,1.13E-08,0.082677626,2
12.26303571,286143226.8,-7.69E-09,0.090770116,2
12.76357143,306208339.3,5.76E-09,0.084935671,2
13.26678571,222200024.1,-1.65E-08,0.096004518,2
13.76741071,156253854.5,1.04E-09,0.070673946,2
14.2681982,138790774.8,3.59E-09,0.102942256,2
14.77008772,153801439.5,-1.05E-08,0.053192558,2
15.26566038,156765899.1,8.97E-09,0.089931575,2
15.76377193,199878678.9,-2.84E-09,0.065098816,2
16.27495146,185085451.5,1.17E-08,0.063676103,2
16.76578947,176055660.5,-7.47E-10,0.099040795,2
17.26646018,177169288.5,-6.50E-09,0.074044888,2
17.76580357,158773292.9,-4.88E-10,0.107780872,2
18.26598214,181374900.5,-9.92E-09,0.071130271,2
18.76482143,151938746.2,-1.26E-08,0.095710628,2
19.26072727,158866756.2,-1.01E-09,0.077770756,2
19.7609009,166642516.3,-1.40E-08,0.076269402,2
20.25938053,168048982.6,-2.62E-09,0.089569251,2
20.76990741,159630941.3,1.49E-09,0.059211736,2
21.26348214,182819471.7,-1.09E-08,0.108160713,2
21.76185841,165323492.3,9.56E-10,0.093817998,2
22.26486726,140936425.8,-2.00E-08,0.108046912,2
22.76566372,186172780.1,-4.16E-09,0.097502185,2
23.26858407,161317047.2,-6.79E-10,0.080761488,2
23.76522124,175631096.4,-1.80E-08,0.09840676,2
24.26522523,198388193.5,-6.08E-09,0.072053946,2
24.76362832,147454777.4,-1.08E-08,0.096978889,2
25.26442478,176643655.9,-3.53E-09,0.063445676,2
25.76971429,206976339.4,1.56E-09,0.075378084,2
26.26327273,138363427,-1.66E-08,0.072420372,2
26.77790476,228479739.2,1.07E-08,0.070085944,2
27.26763636,152442005.7,-1.56E-08,0.109300438,2
27.7663964,148901616.4,-1.32E-08,0.073891566,2
28.261875,185546793.3,-3.83E-09,0.099990211,2
28.7619469,157163733.6,-1.58E-08,0.074245015,2
29.26460177,153976653.5,-1.72E-08,0.07774219,2
29.76327434,205154192.2,-5.13E-09,0.082764367,2
30.26495495,159422950.7,-1.35E-08,0.060817215,2
30.75682243,171402205.5,1.68E-10,0.080572008,2
31.26657658,220862390.7,-1.50E-08,0.053986324,2
31.76321429,142281961.6,-1.09E-08,0.104445138,2
32.26171171,177300949.7,-1.31E-08,0.088971671,2
32.7619469,198637729.5,-2.57E-08,0.085104061,2
33.26530973,145032562.5,-1.30E-08,0.089406227,2
33.76357143,192186616.8,-1.82E-08,0.069693094,2
34.26823009,172296639.6,-1.17E-08,0.088399295,2
34.76672727,146922775.2,-1.65E-08,0.070074808,2
35.26163636,206007443.5,-1.15E-08,0.080120372,2
35.77247788,158309853.1,-1.37E-08,0.064200874,2
36.26554455,163067900.6,-5.88E-09,0.07665072,2
36.76637168,181558860.3,-1.91E-08,0.08677279,2
37.26571429,162690022.4,-9.10E-09,0.100157487,2
37.76631579,157074912.3,-1.71E-08,0.09429222,2
38.26482143,198768381.6,-1.25E-08,0.086002152,2
38.76548673,151316917.8,-7.53E-09,0.098207165,2
39.26504425,161928852.6,-2.13E-08,0.069547926,2
39.76486486,202665406.2,-1.06E-08,0.099619451,2
40.26117647,138590372,-1.58E-08,0.072977085,2
40.76294643,179115214.6,-1.65E-08,0.067731605,2
41.26198198,184766200.3,-2.18E-08,0.066229567,2
41.76276786,134786746.4,-2.42E-08,0.074005164,2
42.2645045,175139595.4,-2.02E-08,0.078865082,2
42.76678571,180199427.5,-1.73E-08,0.073592405,2
43.26696429,153212818.5,-2.48E-08,0.095491287,2
43.76477876,185784513.3,-1.33E-08,0.078817358,2
44.26460177,153300292.1,-2.16E-08,0.075539183,2
44.76477876,150322477.2,-2.20E-08,0.07006152,2
45.26716814,194838305.6,-1.34E-08,0.06998891,2
45.7640708,155590847.2,-2.19E-08,0.075267939,2
46.26725664,151235236,-1.15E-08,0.067733021,2
46.766875,188369122.5,-3.25E-08,0.076938038,2
47.26459184,164511446.8,5.15E-09,0.047457954,2
47.76896907,194817065.9,7.58E-09,0.046373867,2
48.27563107,205015591,-2.04E-08,0.061990408,2
48.75544554,158420020.3,-1.32E-09,0.056642371,2
49.26105263,197857547.6,-5.64E-10,0.060647178,2
49.76778846,197624792.1,-7.34E-09,0.060717099,2
50.26536842,165283722.8,2.96E-09,0.044131389,2
50.76431579,212132275.8,-1.09E-09,0.042024223,2
51.26510417,202045652.4,1.19E-08,0.039290035,2
51.76447917,174994158.8,3.44E-09,0.046853665,2
52.26206186,213304388.8,5.92E-09,0.036998137,2
52.76172043,180513226.5,6.77E-09,0.046790906,2
53.25918367,175980227,-1.04E-09,0.040279444,2
53.76625,222812615.9,9.96E-09,0.04085994,2
54.264,170622206.1,2.61E-09,0.044777425,2
54.76610526,186850224.8,7.38E-09,0.037477996,2
55.26421053,228465833,-1.23E-09,0.048013569,2
55.76670103,186697650.9,1.38E-08,0.038467519,2
56.2725,206444315.7,5.68E-09,0.042752761,2
56.76705263,208053833.5,-1.77E-09,0.044004439,2
57.26701031,178071867.7,1.47E-08,0.037750217,2
57.76854167,208042508,3.11E-09,0.046539533,2
58.26770833,224168214.2,9.62E-09,0.037525602,2
58.764375,158235355.2,8.17E-09,0.045670181,2
59.26583333,244535020.7,8.04E-09,0.040933358,2
59.76375,187338011.1,3.13E-09,0.039535643,2
60.26701031,176376094.3,7.60E-09,0.045958887,2
60.76840426,248508748.6,1.27E-09,0.037418739,2
61.26578947,185023421.1,8.54E-09,0.046962587,2
61.76150538,170099990.1,-9.87E-09,0.04058207,2
62.26164948,254204109.2,9.65E-09,0.041936902,2
62.76585106,181065297.3,-4.50E-10,0.044416304,2
63.26578947,195362951.5,-1.64E-08,0.037467976,2
63.76729167,228867541.9,-5.55E-09,0.047849272,2
64.26694737,185150087.4,-6.27E-09,0.038409004,2
64.76510417,223085548.8,4.02E-09,0.043486948,2
65.26578947,236708443.7,-7.68E-09,0.042439061,2
65.76452632,172080403,-6.57E-09,0.039944071,2
66.26659794,249260480.4,9.48E-09,0.045891194,2
66.76704082,232514715.2,5.01E-09,0.036004547,2
67.2709375,175123820.6,9.53E-10,0.046532129,2
67.76947917,259132927.2,7.91E-09,0.040584463,2
68.27010526,186415864.4,4.67E-09,0.040714394,2
68.76762887,184906479.3,5.44E-09,0.044500683,2
69.26739583,249733391.9,3.56E-09,0.037420055,2
69.76610526,193898553.2,1.87E-09,0.047173367,2
70.26031915,173861736.2,8.34E-09,0.038690592,2
70.76354167,256068280.6,-6.54E-09,0.043372741,2
71.26659574,172821570.5,3.65E-09,0.044052935,2
71.76597938,211043350.8,1.13E-08,0.037486648,2
72.26273684,256138776.7,-4.92E-09,0.047069372,2
72.76071429,180096381.3,6.51E-09,0.037459552,2
73.26085106,211103849.4,4.84E-11,0.045405409,2
73.75742268,240434474.1,1.36E-08,0.041077382,2
74.26134021,167372985.8,5.27E-09,0.040045088,2
74.76326316,245101061.1,6.46E-09,0.045999366,2
75.26336842,206630955.4,1.08E-08,0.035642359,2
75.76557895,174633397,1.00E-08,0.046977933,2
76.26729167,238912441.2,-8.95E-10,0.040608936,2
76.77157895,194543272.9,8.54E-09,0.041594927,2
77.2655914,172364844.8,-4.44E-09,0.044728203,2
77.7646875,237849370.1,7.79E-09,0.037801958,2
78.26864583,196256028.2,1.19E-08,0.046838102,2
78.76808511,171105586.2,-7.65E-09,0.038273263,2
79.26395833,262172905.5,1.07E-08,0.043681099,2
79.76479167,175990189.8,4.48E-11,0.043375878,2
80.26515464,210550271.4,1.34E-08,0.038013787,2
80.76552083,238465350.8,9.31E-11,0.046322791,2
81.26768421,168491008.6,-2.12E-09,0.037464932,2
81.76642105,208845017.7,9.41E-09,0.045976157,2
82.26138298,232698834,-6.88E-10,0.041270443,2
82.76020833,170586872.9,2.50E-09,0.040104418,2
83.261875,234533719,4.58E-09,0.04596511,2
83.76347368,213136538.3,3.88E-09,0.036560178,2
84.26578947,173208506.7,7.92E-10,0.047157895,2
84.76494845,230386499.4,7.16E-09,0.038955285,2
85.27114583,196781572.3,4.90E-09,0.04227987,2
85.76684211,169633833.8,3.66E-09,0.043771718,2
86.26378947,261300479.5,-6.29E-09,0.037795052,2
86.76268041,183663721.6,7.59E-09,0.047504782,2
87.26731959,200900331.4,1.25E-08,0.036183456,2
87.76797872,228514592.1,-7.05E-09,0.045123943,2
88.26541667,171026197.9,8.96E-09,0.041452937,2
88.76752577,221196432.7,8.29E-10,0.039748725,2
